feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,class
141.0,24.0,9.0,18.0,657.0,4553.49,0.02,51.91,87.72,236376.96,1.52,13132.05,141.0,50.0,0.0,56.0,32.0,90.0,365.0,292.0,36.0,1
6.0,1.0,1.0,1.0,30.0,139.32,0.15,6.5,21.43,905.55,0.05,50.31,6.0,1.0,0.0,7.0,13.0,12.0,18.0,12.0,1.0,1
93.0,17.0,4.0,12.0,409.0,2680.83,0.03,38.18,70.21,102358.84,0.89,5686.6,93.0,27.0,0.0,31.0,28.0,66.0,229.0,180.0,24.0,1
6.0,1.0,1.0,1.0,30.0,139.32,0.15,6.5,21.43,905.55,0.05,50.31,6.0,1.0,0.0,7.0,13.0,12.0,18.0,12.0,1.0,1
31.0,7.0,4.0,4.0,108.0,603.18,0.07,14.1,42.78,8504.78,0.2,472.49,28.0,1.0,3.0,9.0,18.0,30.0,61.0,47.0,13.0,1
153.0,25.0,6.0,13.0,841.0,5942.58,0.02,61.92,95.98,367939.9,1.98,20441.11,153.0,55.0,0.0,55.0,33.0,101.0,462.0,379.0,40.0,1
63.0,17.0,9.0,7.0,429.0,2843.99,0.03,32.0,88.87,91007.81,0.95,5055.99,57.0,6.0,6.0,5.0,24.0,75.0,229.0,200.0,33.0,1
106.0,29.0,20.0,5.0,539.0,3676.08,0.03,39.86,92.23,146524.08,1.23,8140.23,106.0,39.0,0.0,32.0,28.0,85.0,297.0,242.0,57.0,1
23.0,5.0,4.0,3.0,113.0,650.3,0.05,20.26,32.1,13174.23,0.22,731.9,21.0,8.0,2.0,9.0,25.0,29.0,66.0,47.0,9.0,1
29.0,5.0,5.0,5.0,164.0,920.81,0.05,20.61,44.67,18980.62,0.31,1054.48,29.0,9.0,0.0,7.0,18.0,31.0,93.0,71.0,9.0,1
84.0,9.0,1.0,3.0,876.0,6498.04,0.02,46.39,140.08,301439.38,2.17,16746.63,84.0,20.0,0.0,27.0,31.0,140.0,457.0,419.0,17.0,1
17.0,1.0,1.0,1.0,102.0,550.02,0.07,13.54,40.63,7446.38,0.18,413.69,16.0,9.0,1.0,12.0,16.0,26.0,58.0,44.0,1.0,1
6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
15.0,4.0,3.0,2.0,86.0,457.69,0.07,14.73,31.08,6740.46,0.15,374.47,14.0,5.0,1.0,7.0,18.0,22.0,50.0,36.0,7.0,1
29.0,5.0,5.0,5.0,146.0,815.4,0.05,18.6,43.84,15166.52,0.27,842.58,29.0,7.0,0.0,5.0,18.0,30.0,84.0,62.0,9.0,1
5.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,5.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
15.0,3.0,1.0,3.0,53.0,249.12,0.13,7.7,32.35,1918.25,0.08,106.57,15.0,0.0,0.0,9.0,11.0,15.0,32.0,21.0,5.0,1
5.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,5.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
23.0,4.0,1.0,4.0,101.0,548.05,0.08,11.79,46.5,6459.19,0.18,358.84,23.0,0.0,0.0,12.0,15.0,28.0,57.0,44.0,7.0,1
5.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,5.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
5.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,5.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
43.0,9.0,7.0,7.0,186.0,1084.92,0.07,13.35,81.27,14482.39,0.36,804.58,43.0,1.0,0.0,16.0,14.0,43.0,104.0,82.0,17.0,1
14.0,4.0,1.0,2.0,69.0,353.92,0.09,10.88,32.54,3848.89,0.12,213.83,12.0,7.0,2.0,4.0,15.0,20.0,40.0,29.0,7.0,1
16.0,5.0,1.0,2.0,90.0,482.18,0.08,12.16,39.65,5863.3,0.16,325.74,13.0,4.0,3.0,3.0,16.0,25.0,52.0,38.0,9.0,1
3.0,1.0,1.0,1.0,18.0,68.53,0.22,4.5,15.23,308.4,0.02,17.13,3.0,0.0,0.0,2.0,9.0,5.0,13.0,5.0,1.0,1
24.0,4.0,1.0,1.0,116.0,585.15,0.06,16.0,36.57,9362.4,0.2,520.13,19.0,6.0,5.0,7.0,12.0,21.0,60.0,56.0,7.0,1
17.0,4.0,1.0,1.0,79.0,391.38,0.08,12.28,31.88,4805.3,0.13,266.96,15.0,6.0,2.0,8.0,13.0,18.0,45.0,34.0,7.0,1
6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
27.0,7.0,1.0,4.0,94.0,506.88,0.05,21.45,23.63,10872.53,0.17,604.03,27.0,4.0,0.0,20.0,22.0,20.0,55.0,39.0,12.0,1
6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
10.0,1.0,1.0,1.0,25.0,97.67,0.27,3.67,26.64,358.13,0.03,19.9,8.0,2.0,2.0,6.0,6.0,9.0,14.0,11.0,1.0,0
29.0,6.0,1.0,3.0,79.0,398.51,0.08,12.92,30.85,5147.38,0.13,285.97,29.0,2.0,0.0,21.0,15.0,18.0,48.0,31.0,8.0,0
8.0,2.0,1.0,1.0,11.0,33.0,0.22,4.5,7.33,148.5,0.01,8.25,6.0,3.0,2.0,2.0,6.0,2.0,8.0,3.0,3.0,0
108.0,22.0,5.0,17.0,464.0,3215.86,0.03,33.04,97.32,106264.81,1.07,5903.6,107.0,35.0,1.0,43.0,31.0,91.0,270.0,194.0,39.0,0
14.0,7.0,1.0,2.0,82.0,430.33,0.07,14.55,29.59,6259.35,0.14,347.74,14.0,0.0,0.0,1.0,16.0,22.0,42.0,40.0,13.0,0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
13.0,4.0,1.0,3.0,42.0,181.52,0.08,12.75,14.24,2314.39,0.06,128.58,13.0,0.0,0.0,2.0,12.0,8.0,25.0,17.0,7.0,0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
56.0,1.0,1.0,1.0,327.0,2078.92,0.02,44.27,46.96,92035.5,0.69,5113.08,49.0,1.0,7.0,2.0,34.0,48.0,202.0,125.0,29.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
7.0,1.0,1.0,1.0,31.0,129.27,0.24,4.14,31.25,534.7,0.04,29.71,7.0,9.0,0.0,5.0,7.0,11.0,18.0,13.0,1.0,0
9.0,2.0,1.0,1.0,30.0,120.0,0.24,4.2,28.57,504.0,0.04,28.0,9.0,2.0,0.0,2.0,6.0,10.0,16.0,14.0,3.0,0
10.0,1.0,1.0,1.0,35.0,153.73,0.17,5.91,26.02,908.41,0.05,50.47,10.0,15.0,0.0,11.0,10.0,11.0,22.0,13.0,1.0,0
7.0,1.0,1.0,1.0,31.0,129.27,0.24,4.14,31.25,534.7,0.04,29.71,7.0,9.0,0.0,5.0,7.0,11.0,18.0,13.0,1.0,0
9.0,2.0,1.0,1.0,30.0,120.0,0.24,4.2,28.57,504.0,0.04,28.0,9.0,2.0,0.0,2.0,6.0,10.0,16.0,14.0,3.0,0
