feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,class
5.0,19.0,24.0,0.0,0.0,24.0,11.0,0.15,12.0,2.0,11.0,1.0,81.0,7.0,0.6,71.0,0.0,10.0,0.91,122.92,19.86,48468.15,0.81,385.0,0.05,2692.68,2440.84,0.64,6.0,12.0,72.0,0.14,139.0,246.0,63.0,18.0,78.0,0.0,71.0,0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,1.0,10.87,3.5,133.14,0.01,12.0,0.29,7.4,38.04,1.0,0.0,0.0,4.0,0.2,2.0,10.0,2.0,7.0,5.0,0.0,4.0,0
3.0,3.0,5.0,0.0,5.0,4.0,2.0,0.29,2.0,2.0,2.0,1.0,11.0,1.0,0.0,7.0,0.0,2.0,1.0,20.1,11.7,2752.14,0.08,52.0,0.09,152.9,235.23,0.5,1.0,2.0,11.0,0.13,18.0,34.0,10.0,13.0,16.0,41.67,7.0,0
9.0,12.0,10.0,0.0,8.0,16.0,7.0,0.21,8.0,2.0,6.0,0.86,38.0,1.0,0.0,34.0,1.0,5.0,0.71,54.94,20.4,22864.72,0.37,193.0,0.05,1270.26,1120.82,0.14,4.0,8.0,33.0,0.13,68.0,125.0,35.0,21.0,53.0,19.05,34.0,0
0.0,8.0,6.0,0.0,1.0,8.0,5.0,0.28,4.0,2.0,3.0,0.6,22.0,3.0,0.5,18.0,1.0,3.0,0.6,33.38,14.25,6778.53,0.16,90.0,0.07,376.58,475.69,0.6,2.0,4.0,19.0,0.25,30.0,60.0,20.0,19.0,20.0,5.26,18.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,6.2,2.5,38.77,0.01,6.0,0.4,2.15,15.51,1.0,0.0,0.0,3.0,0.25,1.0,5.0,1.0,5.0,4.0,0.0,3.0,0
0.0,5.0,4.0,0.0,0.0,8.0,3.0,0.21,4.0,2.0,3.0,1.0,15.0,3.0,1.0,14.0,1.0,1.0,0.33,26.73,9.21,2266.4,0.08,53.0,0.11,125.91,246.12,1.0,2.0,4.0,14.0,0.2,17.0,36.0,12.0,13.0,15.0,0.0,14.0,0
0.0,3.0,10.0,0.0,0.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,26.0,1.0,0.0,19.0,0.0,2.0,1.0,48.56,17.22,14395.0,0.28,163.0,0.06,799.72,836.07,0.5,1.0,2.0,26.0,0.1,66.0,97.0,23.0,12.0,20.0,0.0,19.0,0
5.0,6.0,6.0,1.0,0.0,4.0,4.0,0.18,2.0,2.0,3.0,0.75,19.0,1.0,0.0,21.0,0.0,3.0,0.75,32.17,13.68,6017.65,0.15,88.0,0.07,334.31,440.0,0.25,1.0,2.0,17.0,0.14,31.0,57.0,17.0,15.0,28.0,4.55,22.0,1
1.0,6.0,7.0,0.0,1.0,0.0,5.0,0.19,0.0,0.0,4.0,0.8,24.0,1.0,0.0,27.0,0.0,4.0,0.8,54.2,14.04,10683.73,0.25,145.0,0.07,593.54,760.95,0.2,0.0,0.0,21.0,0.17,54.0,91.0,25.0,13.0,30.0,3.57,27.0,1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,5.43,7.0,266.27,0.01,12.0,0.14,14.79,38.04,1.0,0.0,0.0,3.0,0.25,4.0,8.0,2.0,7.0,4.0,0.0,3.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,8.0,3.0,72.0,0.01,8.0,0.33,4.0,24.0,1.0,0.0,0.0,3.0,0.25,2.0,6.0,2.0,6.0,4.0,0.0,3.0,0
3.0,11.0,6.0,0.0,0.0,20.0,6.0,0.24,10.0,2.0,6.0,1.0,35.0,1.0,0.0,25.0,1.0,6.0,1.0,30.2,25.0,18875.0,0.25,151.0,0.04,1048.61,755.0,0.17,5.0,10.0,31.0,0.21,50.0,101.0,16.0,16.0,29.0,0.0,25.0,0
1.0,3.0,5.0,0.0,1.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,12.0,1.0,0.0,9.0,3.0,2.0,1.0,29.06,11.2,3645.43,0.11,67.0,0.09,202.52,325.48,0.5,1.0,2.0,12.0,0.17,24.0,43.0,15.0,14.0,12.0,10.0,9.0,0
1.0,3.0,3.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,8.0,1.0,0.0,8.0,1.0,2.0,1.0,15.23,10.5,1679.07,0.05,37.0,0.1,93.28,159.91,0.5,1.0,2.0,8.0,0.2,14.0,23.0,8.0,12.0,10.0,0.0,8.0,0
5.0,18.0,15.0,0.0,0.0,26.0,10.0,0.19,12.0,2.17,10.0,1.0,65.0,5.0,0.44,52.0,0.0,9.0,0.9,80.76,27.14,59492.48,0.73,353.0,0.04,3305.14,2191.94,0.5,7.0,13.0,57.0,0.17,137.0,216.0,53.0,21.0,59.0,0.0,52.0,0
2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.2,0.0,0.0,1.0,1.0,4.0,1.0,0.0,5.0,0.0,1.0,1.0,23.96,5.85,820.06,0.05,33.0,0.17,45.56,140.18,1.0,0.0,0.0,5.0,0.11,13.0,20.0,10.0,9.0,9.0,16.67,5.0,0
1.0,3.0,3.0,0.0,0.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,9.0,1.0,0.0,4.0,0.0,2.0,1.0,19.29,6.72,871.59,0.04,30.0,0.15,48.42,129.66,0.5,1.0,2.0,9.0,0.33,11.0,19.0,9.0,11.0,6.0,0.0,4.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.62,5.0,90.47,0.01,7.0,0.2,5.03,18.09,1.0,0.0,0.0,2.0,0.25,2.0,5.0,1.0,5.0,4.0,0.0,3.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,5.33,1.5,12.0,0.0,4.0,0.67,0.67,8.0,1.0,0.0,0.0,2.0,0.25,1.0,3.0,1.0,3.0,4.0,0.0,3.0,0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,1.0,13.44,4.0,215.1,0.02,15.0,0.25,11.95,53.77,1.0,0.0,0.0,4.0,0.2,4.0,11.0,4.0,8.0,5.0,0.0,4.0,0
3.0,15.0,9.0,1.0,4.0,4.0,10.0,0.23,2.0,2.0,8.0,0.8,45.0,1.0,0.0,42.0,0.0,7.0,0.7,58.91,16.11,15290.22,0.32,176.0,0.06,849.46,949.05,0.1,1.0,2.0,37.0,0.19,58.0,118.0,27.0,15.0,52.0,10.64,43.0,0
0.0,4.0,3.0,1.0,0.0,0.0,3.0,0.3,0.0,0.0,2.0,0.67,10.0,1.0,0.0,9.0,0.0,2.0,0.67,16.46,7.2,853.46,0.04,29.0,0.14,47.41,118.54,0.33,0.0,0.0,9.0,0.27,6.0,23.0,5.0,12.0,11.0,10.0,10.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.14,0.0,0.0,1.0,1.0,2.0,1.0,0.0,7.0,0.0,1.0,1.0,12.19,5.0,304.72,0.02,17.0,0.2,16.93,60.94,1.0,0.0,0.0,3.0,0.13,5.0,12.0,4.0,8.0,8.0,0.0,7.0,0
1.0,4.0,5.0,0.0,0.0,0.0,3.0,0.21,0.0,0.0,2.0,0.67,12.0,1.0,0.0,14.0,0.0,2.0,0.67,37.67,8.13,2486.68,0.1,63.0,0.12,138.15,306.05,0.33,0.0,0.0,11.0,0.18,20.0,43.0,16.0,13.0,17.0,0.0,14.0,0
9.0,34.0,28.0,1.0,27.0,56.0,18.0,0.22,26.0,2.15,15.0,0.83,116.0,10.0,0.53,81.0,3.0,16.0,0.89,93.63,43.69,178710.34,1.36,608.0,0.02,9928.35,4090.58,0.56,15.0,28.0,100.0,0.15,232.0,376.0,77.0,29.0,121.0,25.69,82.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,9.51,3.0,85.59,0.01,9.0,0.33,4.75,28.53,1.0,0.0,0.0,3.0,1.0,3.0,6.0,3.0,6.0,1.0,0.0,0.0,0
1.0,3.0,3.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,8.0,1.0,0.0,8.0,1.0,2.0,1.0,15.23,10.5,1679.07,0.05,37.0,0.1,93.28,159.91,0.5,1.0,2.0,8.0,0.2,14.0,23.0,8.0,12.0,10.0,0.0,8.0,0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,0.0,1.0,1.0,26.28,4.2,463.52,0.04,27.0,0.24,25.75,110.36,1.0,0.0,0.0,4.0,0.17,12.0,15.0,10.0,7.0,6.0,0.0,5.0,0
1.0,20.0,11.0,0.0,2.0,26.0,11.0,0.28,10.0,2.6,8.0,0.73,52.0,1.0,0.0,39.0,3.0,10.0,0.91,60.86,22.0,29456.04,0.45,224.0,0.05,1636.45,1338.91,0.09,8.0,13.0,43.0,0.25,82.0,142.0,41.0,22.0,44.0,4.88,39.0,0
0.0,4.0,3.0,1.0,0.0,0.0,3.0,0.3,0.0,0.0,2.0,0.67,10.0,1.0,0.0,9.0,0.0,2.0,0.67,16.46,7.2,853.46,0.04,29.0,0.14,47.41,118.54,0.33,0.0,0.0,9.0,0.27,6.0,23.0,5.0,12.0,11.0,10.0,10.0,0
5.0,3.0,6.0,0.0,1.0,4.0,2.0,0.12,2.0,2.0,2.0,1.0,17.0,1.0,0.0,17.0,1.0,1.0,0.5,50.08,14.0,9816.39,0.23,139.0,0.07,545.36,701.17,0.5,1.0,2.0,17.0,0.08,56.0,83.0,22.0,11.0,24.0,5.56,17.0,0
12.0,14.0,22.0,0.0,1.0,10.0,9.0,0.14,4.0,2.5,7.0,0.78,68.0,4.0,0.38,66.0,0.0,6.0,0.67,116.42,23.48,64177.21,0.91,418.0,0.04,3565.4,2733.37,0.44,3.0,5.0,61.0,0.11,161.0,257.0,72.0,21.0,81.0,1.49,66.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.17,0.0,0.0,1.0,1.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,7.75,6.0,279.04,0.02,14.0,0.17,15.5,46.51,1.0,0.0,0.0,3.0,0.14,3.0,11.0,2.0,8.0,7.0,0.0,6.0,0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.17,0.0,0.0,1.0,1.0,3.0,1.0,0.0,6.0,0.0,1.0,1.0,14.68,8.25,999.19,0.04,31.0,0.12,55.51,121.11,1.0,0.0,0.0,4.0,0.14,11.0,20.0,6.0,9.0,7.0,0.0,6.0,0
3.0,5.0,7.0,1.0,2.0,8.0,3.0,0.18,4.0,2.0,1.0,0.33,18.0,1.0,0.0,16.0,0.0,3.0,1.0,44.98,14.69,9703.67,0.22,125.0,0.07,539.09,660.68,0.33,2.0,4.0,17.0,0.12,47.0,78.0,24.0,15.0,25.0,15.79,17.0,0
2.0,3.0,5.0,0.0,1.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,10.0,1.0,0.0,8.0,1.0,2.0,1.0,26.84,8.18,1796.86,0.07,50.0,0.12,99.83,219.62,0.5,1.0,2.0,10.0,0.17,18.0,32.0,11.0,10.0,12.0,11.11,8.0,0
0.0,3.0,7.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,14.0,1.0,0.0,12.0,1.0,1.0,0.5,41.57,8.24,2819.37,0.11,72.0,0.12,156.63,342.35,0.5,1.0,2.0,14.0,0.15,28.0,44.0,17.0,10.0,13.0,0.0,12.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,6.2,2.5,38.77,0.01,6.0,0.4,2.15,15.51,1.0,0.0,0.0,3.0,0.25,1.0,5.0,1.0,5.0,4.0,0.0,3.0,0
2.0,4.0,3.0,0.0,0.0,0.0,3.0,0.21,0.0,0.0,3.0,1.0,11.0,1.0,0.0,14.0,1.0,3.0,1.0,26.15,9.17,2197.7,0.08,53.0,0.11,122.09,239.75,0.33,0.0,0.0,10.0,0.17,20.0,33.0,12.0,11.0,18.0,0.0,14.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,5.33,1.5,12.0,0.0,4.0,0.67,0.67,8.0,1.0,0.0,0.0,2.0,0.25,1.0,3.0,1.0,3.0,4.0,0.0,3.0,0
9.0,3.0,9.0,0.0,4.0,4.0,2.0,0.1,2.0,2.0,2.0,1.0,22.0,1.0,0.0,21.0,0.0,1.0,0.5,71.77,11.08,8806.58,0.27,155.0,0.09,489.25,795.04,0.5,1.0,2.0,22.0,0.06,64.0,91.0,26.0,9.0,35.0,16.0,21.0,0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,0.0,1.0,1.0,26.28,4.2,463.52,0.04,27.0,0.24,25.75,110.36,1.0,0.0,0.0,4.0,0.17,12.0,15.0,10.0,7.0,6.0,0.0,5.0,0
1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,1.0,4.0,1.0,0.0,5.0,3.0,1.0,1.0,34.59,3.55,434.76,0.04,30.0,0.28,24.15,122.62,1.0,0.0,0.0,5.0,0.13,13.0,17.0,11.0,6.0,8.0,0.0,5.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,9.51,3.0,85.59,0.01,9.0,0.33,4.75,28.53,1.0,0.0,0.0,3.0,0.25,3.0,6.0,3.0,6.0,4.0,0.0,3.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,9.51,3.0,85.59,0.01,9.0,0.33,4.75,28.53,1.0,0.0,0.0,3.0,1.0,3.0,6.0,3.0,6.0,1.0,0.0,0.0,0
0.0,6.0,3.0,0.0,0.0,4.0,4.0,0.31,2.0,2.0,3.0,0.75,14.0,1.0,0.0,13.0,0.0,2.0,0.5,21.05,11.25,2664.41,0.08,51.0,0.09,148.02,236.84,0.25,1.0,2.0,12.0,0.29,15.0,36.0,10.0,15.0,14.0,0.0,13.0,0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,1.0,6.64,6.0,239.18,0.01,12.0,0.17,13.29,39.86,1.0,0.0,0.0,3.0,0.17,3.0,9.0,2.0,8.0,6.0,20.0,4.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,8.0,3.0,72.0,0.01,8.0,0.33,4.0,24.0,1.0,0.0,0.0,3.0,0.25,2.0,6.0,2.0,6.0,4.0,0.0,3.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.33,1.5,12.0,0.0,4.0,0.67,0.67,8.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0
6.0,18.0,17.0,0.0,1.0,28.0,10.0,0.15,14.0,2.0,9.0,0.9,68.0,1.0,0.0,67.0,0.0,7.0,0.7,65.16,27.99,51033.62,0.61,314.0,0.04,2835.2,1823.51,0.1,7.0,14.0,60.0,0.13,109.0,205.0,37.0,19.0,75.0,1.47,67.0,0
1.0,7.0,1.0,0.0,0.0,12.0,4.0,0.31,6.0,2.0,4.0,1.0,16.0,1.0,0.0,13.0,0.0,4.0,1.0,16.11,13.71,3029.38,0.07,52.0,0.07,168.3,220.89,0.25,3.0,6.0,14.0,0.27,16.0,36.0,7.0,12.0,15.0,0.0,13.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,6.2,2.5,38.77,0.01,6.0,0.4,2.15,15.51,1.0,0.0,0.0,3.0,0.33,1.0,5.0,1.0,5.0,3.0,0.0,2.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.33,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,6.2,2.5,38.77,0.01,6.0,0.4,2.15,15.51,1.0,0.0,0.0,3.0,0.25,1.0,5.0,1.0,5.0,4.0,0.0,3.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,6.2,2.5,38.77,0.01,6.0,0.4,2.15,15.51,1.0,0.0,0.0,2.0,0.25,1.0,5.0,1.0,5.0,4.0,0.0,3.0,0
1.0,5.0,5.0,0.0,4.0,0.0,4.0,0.14,0.0,0.0,3.0,0.75,20.0,1.0,0.0,29.0,3.0,3.0,0.75,47.03,16.63,12999.77,0.26,149.0,0.06,722.21,781.94,0.25,0.0,0.0,18.0,0.11,57.0,92.0,24.0,14.0,38.0,12.12,29.0,0
0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.17,0.0,0.0,1.0,1.0,5.0,1.0,0.0,6.0,1.0,1.0,1.0,30.14,6.15,1141.33,0.06,41.0,0.16,63.41,185.47,1.0,0.0,0.0,6.0,0.14,16.0,25.0,13.0,10.0,7.0,0.0,6.0,1
5.0,11.0,11.0,0.0,2.0,20.0,6.0,0.27,10.0,2.0,5.0,0.83,36.0,1.0,0.0,22.0,2.0,5.0,0.83,35.31,19.55,13490.6,0.23,128.0,0.05,749.48,690.22,0.17,5.0,10.0,32.0,0.19,43.0,85.0,22.0,20.0,31.0,8.33,22.0,0
1.0,6.0,6.0,0.0,0.0,4.0,4.0,0.21,2.0,2.0,3.0,0.75,18.0,3.0,0.67,19.0,0.0,3.0,0.75,29.26,13.5,5332.5,0.13,79.0,0.07,296.25,395.0,0.75,1.0,2.0,16.0,0.18,27.0,52.0,16.0,16.0,22.0,0.0,19.0,0
1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.14,0.0,0.0,1.0,1.0,6.0,1.0,0.0,7.0,0.0,1.0,1.0,23.88,7.65,1397.36,0.06,43.0,0.13,77.63,182.66,1.0,0.0,0.0,7.0,0.11,17.0,26.0,10.0,9.0,9.0,0.0,7.0,0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,1.0,16.5,2.0,66.0,0.01,11.0,0.5,3.67,33.0,1.0,0.0,0.0,4.0,0.2,4.0,7.0,4.0,4.0,5.0,0.0,4.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.62,5.0,90.47,0.01,7.0,0.2,5.03,18.09,1.0,0.0,0.0,2.0,0.25,2.0,5.0,1.0,5.0,4.0,0.0,3.0,0
7.0,1.0,6.0,0.0,4.0,0.0,1.0,0.05,0.0,0.0,1.0,1.0,14.0,1.0,0.0,21.0,0.0,1.0,1.0,69.8,10.02,7011.39,0.23,144.0,0.1,389.52,699.55,1.0,0.0,0.0,15.0,0.03,63.0,81.0,22.0,7.0,33.0,16.0,21.0,0
7.0,27.0,9.0,1.0,4.0,46.0,14.0,0.33,20.0,2.3,12.0,0.86,64.0,6.0,0.38,42.0,0.0,11.0,0.79,35.69,27.62,27226.57,0.33,184.0,0.04,1512.59,985.79,0.43,13.0,23.0,52.0,0.25,58.0,126.0,21.0,20.0,57.0,10.64,43.0,1
1.0,5.0,3.0,0.0,0.0,8.0,3.0,0.25,4.0,2.0,3.0,1.0,13.0,1.0,0.0,12.0,1.0,3.0,1.0,26.16,9.23,2229.05,0.08,52.0,0.11,123.84,241.48,0.33,2.0,4.0,12.0,0.21,20.0,32.0,13.0,12.0,14.0,0.0,12.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,9.47,2.67,67.38,0.01,9.0,0.38,3.74,25.27,1.0,0.0,0.0,2.0,0.2,4.0,5.0,3.0,4.0,5.0,0.0,4.0,0
15.0,13.0,14.0,0.0,0.0,0.0,9.0,0.14,0.0,0.0,9.0,1.0,55.0,1.0,0.0,64.0,0.0,6.0,0.67,89.26,20.71,38301.26,0.62,317.0,0.05,2127.85,1849.03,0.11,0.0,0.0,48.0,0.11,116.0,201.0,42.0,15.0,80.0,0.0,64.0,0
1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,1.0,1.0,16.0,1.0,0.0,10.0,0.0,1.0,1.0,82.4,6.85,3871.09,0.19,114.0,0.15,215.06,564.78,1.0,0.0,0.0,17.0,0.08,47.0,67.0,24.0,7.0,13.0,0.0,10.0,0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,0.0,1.0,1.0,26.28,4.2,463.52,0.04,27.0,0.24,25.75,110.36,1.0,0.0,0.0,4.0,0.17,12.0,15.0,10.0,7.0,6.0,0.0,5.0,0
24.0,45.0,36.0,1.0,8.0,58.0,25.0,0.21,24.0,2.42,23.0,0.92,150.0,8.0,0.29,117.0,0.0,23.0,0.92,142.73,32.85,154013.92,1.56,680.0,0.03,8556.33,4688.48,0.32,17.0,29.0,127.0,0.17,235.0,445.0,93.0,26.0,151.0,7.14,118.0,0
1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,1.0,5.0,1.0,0.0,5.0,0.0,1.0,1.0,25.02,5.5,756.84,0.05,33.0,0.18,42.05,137.61,1.0,0.0,0.0,6.0,0.13,11.0,22.0,9.0,9.0,8.0,0.0,5.0,0
2.0,1.0,6.0,0.0,2.0,0.0,1.0,0.1,0.0,0.0,1.0,1.0,8.0,1.0,0.0,10.0,2.0,1.0,1.0,50.45,8.37,3534.13,0.14,83.0,0.12,196.34,422.26,1.0,0.0,0.0,9.0,0.06,35.0,48.0,23.0,11.0,16.0,16.67,10.0,0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,14.28,5.33,406.12,0.03,20.0,0.19,22.56,76.15,1.0,0.0,0.0,4.0,0.2,8.0,12.0,6.0,8.0,5.0,0.0,4.0,0
