feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,class
176,339,41,0,5,0,0,0,131,66,0,0,142,0,150,0,0,0,0,0,148,4,0,204,0,0,140,0,0,0,0,53,0,290,282,163,87,386,0,43,0,186,0,0,0,0,0,90,0,151,0,131,155,152,0,0,0,16,0,0,0,0,443,0,66,315,0,0,0,0,0,0,104,369,54,0,0,0,29,0,0,0,0,152,13,3,212,56,0,19,115,47,0,52,24,11,0,63,0,1,0
0,0,169,0,0,0,87,10,286,85,371,171,503,157,151,0,18,20,0,485,0,125,7,190,32,6,44,0,0,66,151,78,19,0,0,7,53,355,0,120,286,49,2,0,44,0,89,0,312,178,102,119,71,221,16,159,185,47,49,0,396,191,346,0,114,106,44,2,0,0,0,0,63,355,6,0,0,12,47,10,26,0,40,77,47,0,415,21,20,69,297,0,315,0,77,54,57,13,55,14,1
148,365,53,11,5,0,0,15,157,24,13,3,129,0,63,0,0,0,0,0,3,51,0,191,45,77,104,0,0,0,0,25,0,397,262,75,212,439,0,239,0,234,0,3,0,0,0,0,70,63,0,0,630,168,0,77,0,11,0,3,6,27,521,300,0,335,0,0,0,0,15,11,36,411,32,103,21,4,67,42,0,0,89,135,5,0,170,194,89,0,97,0,0,61,13,0,0,38,0,0,0
102,79,503,0,0,34,0,0,119,0,89,93,152,34,11,0,24,0,0,578,0,49,7,300,0,0,165,0,0,0,0,0,0,101,146,69,345,663,3,43,133,586,45,11,0,0,0,0,171,43,5,91,1,63,0,20,278,66,13,20,443,70,36,0,38,827,39,0,91,0,0,3,13,655,0,5,0,0,66,0,102,0,0,0,0,0,0,0,0,0,206,79,390,34,80,0,0,0,0,27,1
0,0,403,0,11,0,35,0,321,590,83,204,433,6,711,119,33,0,0,447,128,6,0,198,0,0,0,114,0,15,0,2,65,0,0,79,147,296,0,0,214,231,37,0,130,0,27,31,96,118,660,27,30,165,10,2,129,0,128,0,113,78,397,0,34,78,45,0,3,39,0,0,47,299,82,10,0,0,6,0,39,0,10,102,116,0,313,0,0,81,347,11,80,91,124,132,519,51,41,0,0
137,121,416,0,16,0,0,0,161,0,84,141,148,27,12,0,20,0,17,615,0,79,1,345,0,0,0,0,0,0,0,36,0,237,163,45,470,676,0,51,91,321,0,0,0,0,2,0,163,76,3,23,25,80,0,18,176,49,0,20,381,23,61,0,153,698,37,0,69,0,0,0,9,657,59,0,0,0,21,0,28,135,1,7,0,0,29,0,0,0,236,138,340,89,116,0,0,0,0,0,1
62,60,87,0,0,174,54,52,343,148,512,119,338,279,143,0,83,0,0,337,0,128,0,249,67,239,0,0,0,18,0,0,1,104,105,73,140,259,0,132,457,77,35,30,46,0,156,0,519,317,73,12,131,352,4,266,371,34,67,0,308,249,245,0,28,177,20,0,15,0,0,0,110,263,0,0,0,46,74,40,180,0,61,117,9,0,317,28,2,16,370,0,246,11,52,16,31,10,0,0,0
0,0,202,0,0,0,30,79,230,207,423,121,455,223,207,0,199,0,15,439,0,169,0,67,63,15,115,0,0,0,13,0,28,0,0,205,0,272,0,230,610,81,0,119,84,0,145,0,388,0,124,65,171,44,18,217,540,17,127,0,278,384,276,0,246,69,0,0,113,0,0,8,0,277,68,0,0,49,26,4,350,23,104,0,61,0,375,68,154,42,244,139,227,5,0,64,82,0,15,0,0
180,65,463,0,0,14,0,0,122,0,40,114,236,20,6,0,25,0,10,678,0,0,41,388,0,19,0,0,0,0,0,0,0,189,229,13,343,776,6,0,89,213,42,10,0,0,0,0,135,240,0,0,10,68,0,7,204,19,0,0,435,10,61,0,0,429,0,52,33,0,0,1,60,768,0,0,0,0,55,0,33,10,0,15,0,0,0,0,0,0,291,21,383,73,176,0,0,8,0,0,0
0,0,232,0,0,0,37,86,118,159,268,54,530,129,182,0,113,0,0,511,0,94,0,325,9,23,193,0,0,0,115,0,14,0,0,140,0,254,0,265,517,100,50,47,103,0,81,0,293,0,111,44,184,0,0,137,364,38,73,16,258,217,277,0,0,75,0,0,28,0,0,75,22,258,0,0,0,50,18,0,198,80,77,0,12,24,468,8,110,0,120,91,198,0,0,63,73,0,8,20,0
0,0,255,0,0,0,49,60,170,94,338,84,524,183,158,34,134,0,0,509,0,134,0,260,55,140,0,27,0,20,207,0,0,0,0,54,23,234,0,155,396,105,87,74,83,0,138,0,329,0,93,176,114,39,0,184,295,0,2,0,337,234,280,0,16,81,0,0,0,0,0,0,38,236,47,0,77,41,17,10,150,0,34,0,10,0,438,18,116,1,184,20,272,0,31,45,61,26,0,10,0
167,80,422,0,0,0,0,0,128,20,66,109,300,20,61,0,0,0,0,542,0,64,48,370,0,54,80,0,0,6,238,38,0,176,188,15,369,667,35,69,98,208,0,0,0,25,3,0,117,99,49,0,49,62,0,0,255,0,0,0,530,29,51,0,84,475,7,59,69,0,0,1,0,646,3,0,0,0,6,0,59,5,0,4,0,0,0,0,0,0,287,30,461,61,133,0,16,33,159,0,0
179,374,44,0,0,6,0,2,190,15,0,0,156,0,101,0,0,0,0,0,62,113,0,112,2,0,103,0,0,0,22,0,0,308,211,122,207,443,0,241,0,230,1,0,0,0,0,0,2,82,4,0,436,106,33,31,0,0,0,0,0,0,477,224,170,325,0,0,0,0,21,0,11,396,54,32,0,0,35,15,0,30,119,81,0,0,155,131,0,0,141,81,0,23,40,8,0,44,0,0,0
169,347,39,0,3,0,0,0,184,25,4,0,105,0,53,0,0,0,0,7,55,0,0,123,0,100,0,0,0,0,558,0,0,272,238,165,204,432,0,81,0,200,19,0,0,0,0,0,0,61,0,26,261,111,0,0,0,4,0,0,0,0,489,62,100,310,0,0,0,0,0,12,19,392,0,0,0,0,46,0,0,36,18,56,62,0,176,72,0,0,129,0,0,45,41,31,0,30,42,4,1
0,0,265,0,0,0,21,49,111,69,406,49,519,195,97,0,106,90,0,500,1,128,0,244,59,57,0,0,0,0,0,27,0,0,0,157,0,289,0,153,429,114,61,66,36,0,165,0,389,0,51,50,103,0,0,198,319,69,0,0,331,262,298,0,14,64,0,0,0,0,0,0,50,288,61,0,0,43,26,29,160,42,57,0,17,0,421,29,0,10,124,0,269,0,0,32,18,38,39,0,0
0,0,247,0,55,6,93,65,253,146,399,117,507,248,167,0,59,0,0,490,0,137,0,281,82,4,0,0,0,5,0,0,15,0,0,53,45,340,0,130,176,85,0,43,65,0,173,0,414,0,103,0,91,54,18,241,116,15,17,0,300,162,311,0,19,102,21,40,0,0,0,4,16,340,69,0,0,52,31,43,0,56,60,0,30,0,432,57,0,4,262,0,245,0,45,35,55,21,0,0,0
147,108,457,0,0,10,17,0,159,0,102,143,169,49,0,0,28,0,0,675,7,61,0,364,0,26,0,0,0,0,0,0,0,251,178,43,428,710,0,42,88,353,23,7,0,0,0,0,205,93,0,0,56,53,0,37,190,11,0,0,391,19,56,0,32,751,48,67,32,0,0,145,0,693,13,0,0,0,96,0,35,12,12,11,0,0,38,0,50,0,278,0,346,88,123,0,0,0,0,0,1
147,329,73,0,0,29,0,22,167,22,28,1,97,0,54,0,68,0,0,5,228,0,0,70,0,21,181,0,0,0,0,68,2,256,226,238,185,506,0,127,97,243,24,0,0,0,18,0,35,51,0,77,464,84,0,0,109,0,0,0,0,15,456,65,0,330,0,0,0,0,0,29,0,459,72,0,0,0,37,1,6,0,49,51,16,0,110,59,0,45,114,0,0,28,56,21,0,63,82,0,0
139,69,452,0,0,0,12,0,138,0,168,108,189,95,0,0,23,0,0,670,0,82,0,388,0,0,42,0,0,0,0,0,0,200,200,54,351,756,0,51,125,282,85,0,0,0,29,0,246,128,0,32,12,49,0,69,222,111,6,0,373,43,64,0,21,670,46,3,58,0,0,15,33,743,273,0,0,0,18,0,74,0,13,0,0,0,4,0,0,0,238,53,328,61,157,0,0,0,0,0,1
0,0,195,0,0,0,5,88,386,253,429,312,456,231,165,0,98,0,0,468,3,112,0,343,26,71,0,0,0,0,0,27,27,0,0,199,37,424,0,256,453,86,4,53,97,0,145,0,319,44,86,0,177,57,0,180,307,0,27,0,364,279,328,3,92,113,0,0,0,0,0,0,37,422,0,0,0,65,13,0,130,7,75,21,125,0,423,94,0,52,405,57,290,0,74,121,30,41,0,0,0
0,0,279,12,12,0,38,56,108,153,388,40,266,217,137,0,197,0,0,242,0,191,18,141,78,75,0,0,0,0,142,51,40,0,0,88,0,0,0,173,571,88,29,128,58,0,137,16,390,0,69,0,141,0,0,218,411,28,164,0,428,294,0,0,53,110,0,0,161,54,0,0,46,0,78,0,0,55,51,42,172,51,120,0,4,0,219,13,0,0,120,0,348,0,0,4,36,61,11,0,1
172,331,37,0,0,0,0,1,172,16,42,0,94,0,7,0,62,0,0,0,160,0,30,118,11,33,0,0,0,0,90,0,6,240,293,241,236,473,0,59,110,214,87,23,28,0,45,0,9,41,0,112,406,156,0,0,117,7,0,0,0,85,508,0,156,328,0,0,0,0,0,39,48,437,44,22,0,0,0,0,1,0,0,48,52,0,151,73,15,0,139,57,0,60,34,36,0,20,0,24,1
152,295,68,0,0,0,0,242,144,18,240,18,80,0,39,0,98,0,0,0,36,0,20,123,71,0,0,0,0,0,0,0,0,291,309,65,131,496,0,37,99,233,13,4,0,0,0,0,245,41,0,0,362,109,0,0,170,0,0,0,0,65,474,0,9,314,0,48,0,0,0,0,43,456,0,0,105,0,15,88,36,78,0,86,0,56,116,24,32,0,100,74,0,28,19,0,0,0,0,0,1
0,0,310,0,48,0,0,33,228,303,432,149,427,178,273,0,56,89,0,430,0,151,0,339,44,0,71,0,0,31,0,43,18,0,0,72,3,237,0,190,338,144,53,21,138,0,160,81,386,0,168,0,123,7,0,168,207,149,83,0,456,191,275,0,6,47,0,14,0,0,0,0,50,234,66,69,0,23,65,17,15,3,91,0,60,3,404,24,0,11,252,0,366,0,1,97,97,113,0,0,0
81,190,91,0,0,0,0,0,236,0,0,0,116,0,0,0,0,0,0,31,0,0,7,32,0,98,0,0,0,0,199,0,0,253,131,38,240,392,0,22,1,287,31,0,0,0,0,0,0,47,0,0,65,100,0,0,23,9,0,0,0,0,258,133,101,381,0,0,0,0,0,13,50,319,56,0,0,0,8,0,0,18,18,0,0,0,110,0,0,0,134,11,0,25,92,0,0,0,34,0,0
0,0,94,0,0,0,69,17,271,142,429,156,518,217,178,0,45,0,0,504,0,95,0,135,37,12,0,0,0,51,0,0,6,0,0,44,39,392,0,100,231,10,45,43,28,0,104,0,281,100,147,21,36,174,25,170,141,69,0,0,448,218,338,0,79,122,21,0,0,0,0,0,40,395,55,6,0,17,50,6,0,0,30,41,47,0,410,33,7,72,285,0,357,0,73,59,104,56,0,36,1
0,0,260,0,0,0,0,0,395,371,42,229,557,0,419,12,0,0,0,529,26,0,26,191,0,15,201,10,0,2,114,0,17,0,0,80,153,437,0,3,179,102,109,0,67,0,0,0,21,215,382,6,0,221,0,0,90,76,34,0,92,42,390,0,0,49,0,0,2,0,0,26,52,438,0,0,0,0,92,0,3,0,0,162,64,0,376,0,104,8,417,0,52,72,194,87,269,21,0,42,0
27,31,177,0,0,0,85,53,408,136,416,206,468,224,159,0,93,0,0,460,0,169,0,335,50,24,208,0,0,0,0,0,8,92,176,81,192,426,0,219,561,52,51,48,30,0,173,184,522,384,114,62,135,404,0,222,446,0,125,0,401,189,331,0,384,172,84,104,54,0,0,0,43,429,120,29,0,50,66,0,222,21,64,240,0,0,427,0,0,0,417,33,309,75,117,6,61,32,0,17,0
115,293,89,0,0,12,0,83,166,12,53,0,136,0,0,0,102,0,0,0,225,0,0,94,0,14,0,0,0,0,124,36,0,305,218,169,197,465,0,99,163,295,39,0,16,0,0,0,67,69,0,79,311,135,0,0,165,21,0,0,0,34,391,0,33,378,0,2,0,6,0,0,0,400,52,14,0,0,23,0,30,0,22,59,1,2,125,21,0,17,134,1,0,27,65,14,0,41,0,0,1
119,329,33,5,26,12,0,0,165,0,5,0,134,0,1,0,0,0,0,0,86,0,0,187,8,49,38,0,0,0,137,73,3,494,273,181,188,402,0,94,0,193,67,0,0,0,0,0,10,31,0,48,411,102,0,9,0,25,0,0,0,0,473,155,42,300,0,12,0,0,0,0,39,389,144,7,26,0,61,0,0,0,41,90,24,0,186,152,31,0,102,0,0,64,0,0,0,16,15,6,0
151,240,61,0,1,0,0,0,174,0,0,16,100,0,0,0,0,51,0,0,10,100,0,81,0,0,0,0,0,0,116,0,0,234,279,56,246,516,0,107,0,261,187,0,0,0,0,0,6,24,0,0,320,74,0,0,0,0,0,0,0,0,431,0,79,369,0,0,0,0,0,11,104,467,149,0,0,0,65,0,0,0,0,22,1,0,113,0,0,0,122,0,0,36,71,0,0,0,10,0,1
0,0,215,0,0,0,44,34,233,184,312,156,500,129,198,0,185,0,0,499,0,136,0,317,47,92,0,0,0,0,102,0,11,0,0,96,0,323,0,161,662,98,0,80,22,0,134,2,401,0,148,178,114,0,7,201,544,0,95,0,271,233,296,0,0,98,14,1,68,0,0,3,37,326,0,38,0,13,71,0,347,0,87,0,20,0,441,24,106,0,245,99,218,18,0,38,106,0,0,11,0
182,317,23,0,6,0,0,13,159,0,0,0,147,0,29,0,0,0,0,77,220,26,0,119,5,18,0,0,0,0,248,49,20,242,249,244,188,446,0,215,12,173,115,0,9,0,0,0,25,31,0,85,566,36,0,0,0,86,0,0,0,0,462,141,20,285,0,29,0,0,0,13,0,418,48,77,0,0,10,9,0,41,30,43,40,0,161,40,31,38,113,22,0,53,50,49,0,126,0,0,0
109,89,424,0,0,27,0,0,137,0,45,108,157,23,5,0,0,42,22,553,0,47,0,298,0,197,0,0,0,0,0,5,0,122,155,69,381,682,13,34,98,450,30,0,0,5,0,2,92,58,0,162,0,76,0,14,229,35,15,0,450,29,43,0,87,757,52,0,66,0,0,0,0,671,63,0,0,0,20,0,75,0,0,0,0,0,0,0,43,0,203,0,392,33,88,0,0,0,0,22,1
107,269,63,0,0,0,0,0,185,0,24,0,116,0,26,0,28,0,0,0,8,15,4,53,0,86,0,0,0,0,0,0,0,256,187,68,200,450,0,97,57,270,0,0,0,0,0,0,44,69,0,75,280,107,0,13,76,0,0,0,0,7,340,155,42,357,0,0,0,0,0,0,70,381,55,43,0,0,15,0,0,12,105,10,0,0,99,57,0,0,136,36,0,19,48,0,0,18,0,0,0
345,67,470,0,0,0,0,0,116,0,73,118,200,47,1,0,20,0,0,603,0,0,0,334,0,113,227,0,0,0,0,22,0,124,317,4,335,719,12,0,82,233,34,0,0,5,0,25,155,115,0,149,3,40,0,40,217,0,0,0,442,57,45,0,20,466,12,0,0,0,0,19,47,707,0,7,0,0,0,0,38,72,0,0,0,0,1,0,7,0,309,31,390,58,145,0,0,12,0,0,0
124,258,66,0,0,0,0,0,167,0,23,0,140,0,23,0,20,0,0,39,17,7,10,12,0,110,0,0,0,0,0,0,0,195,191,63,220,412,0,51,54,254,110,0,0,0,0,0,30,68,0,139,170,54,0,0,74,71,0,0,0,1,273,86,23,333,0,0,0,0,0,4,178,353,30,59,0,0,9,0,0,3,60,5,0,6,103,37,0,0,121,26,0,14,27,0,0,47,0,7,0
122,140,199,0,9,18,0,32,294,141,173,276,404,0,243,0,49,0,0,407,0,173,0,284,57,45,0,0,0,25,126,44,17,133,55,7,171,339,0,183,211,158,59,39,0,0,150,0,442,332,206,9,156,340,0,259,109,0,144,0,409,88,331,0,22,313,0,17,0,0,0,0,38,355,0,0,0,29,58,39,0,45,86,175,4,0,355,0,0,51,328,0,332,0,22,28,147,49,0,0,0
189,433,67,18,0,0,0,5,156,17,85,0,125,0,118,0,9,0,0,0,0,47,0,121,19,23,0,0,0,0,0,0,0,293,243,46,126,458,0,246,21,227,0,0,0,0,0,0,95,91,0,180,546,98,0,0,15,7,0,0,25,23,490,275,42,316,0,148,0,0,3,0,48,414,0,26,0,0,40,16,0,0,48,73,22,0,155,141,0,0,130,71,0,41,39,0,0,2,0,27,1
157,328,55,0,0,0,0,0,175,0,0,0,103,0,62,0,0,0,10,2,0,13,0,34,0,0,121,0,0,0,0,0,0,178,226,7,163,488,0,116,17,208,2,0,0,0,0,0,10,63,0,47,322,74,0,0,30,0,0,0,0,2,422,32,38,310,0,7,0,0,0,25,20,434,93,8,0,0,50,0,0,1,0,49,10,0,103,27,9,0,103,8,0,26,63,0,0,0,0,0,1
78,29,193,0,27,7,73,32,361,115,391,209,488,193,104,0,58,0,33,482,0,148,14,220,51,64,0,0,0,0,0,0,0,61,126,9,86,391,0,154,289,62,132,51,20,0,194,3,525,282,56,29,97,310,12,235,204,0,0,8,396,166,343,0,64,108,55,0,0,0,0,32,56,395,144,8,33,32,62,28,39,0,75,219,0,0,417,70,102,27,368,0,317,0,84,15,26,32,0,0,0
196,445,60,0,0,0,0,19,157,45,12,0,131,0,148,0,46,0,0,0,0,93,1,134,17,62,173,0,0,0,0,0,0,268,245,74,124,436,0,328,73,212,50,5,0,0,0,0,48,103,0,71,600,89,49,53,48,40,0,0,17,37,499,144,73,319,0,0,0,0,0,0,0,398,57,0,0,0,0,20,0,17,6,66,0,19,170,100,24,0,130,132,0,59,62,0,0,25,19,0,1
212,280,291,0,0,55,1,9,440,192,243,131,366,23,302,0,80,23,0,383,7,127,12,267,17,0,0,0,0,16,0,27,23,77,127,39,189,306,0,113,347,90,26,54,19,0,115,0,370,238,247,66,80,235,0,187,260,195,132,0,377,141,352,0,120,336,0,0,65,0,0,0,37,343,46,117,0,6,15,3,84,0,12,108,0,0,342,0,0,75,453,66,304,0,9,0,166,0,21,3,0
183,91,455,0,0,0,0,0,139,0,28,119,277,7,33,0,0,0,0,570,0,0,0,380,0,21,146,0,0,0,0,46,0,213,215,0,385,709,35,0,106,222,14,0,0,25,0,0,96,124,29,155,0,46,0,6,221,48,0,0,525,3,69,0,0,478,16,0,28,0,0,0,35,687,52,0,0,0,37,0,43,6,0,30,0,0,0,0,0,0,391,10,450,70,160,0,1,19,42,43,0
182,309,0,23,0,0,0,0,138,0,0,3,120,0,0,0,0,0,0,53,0,0,0,162,25,51,21,0,0,0,0,64,0,213,327,31,163,387,0,85,0,120,37,0,0,0,0,0,36,3,0,0,523,21,0,0,0,17,0,0,0,22,486,175,41,235,0,134,0,0,2,0,50,380,82,0,18,0,17,2,0,0,0,50,0,0,183,90,34,0,104,110,0,88,20,0,0,0,7,0,1
143,65,436,0,0,0,0,0,118,58,57,90,261,38,105,0,10,0,0,567,0,8,0,344,0,235,0,0,0,6,0,0,0,154,174,0,344,682,33,29,101,230,0,0,14,22,0,3,150,93,86,34,0,54,0,35,260,69,0,0,530,19,45,0,17,541,11,10,11,0,0,0,0,662,76,48,0,0,90,0,61,1,0,0,0,1,0,0,11,0,273,51,465,40,146,0,40,28,33,0,0
0,0,270,0,18,0,88,29,354,133,282,266,548,197,111,0,51,0,77,543,0,84,17,331,34,0,137,0,0,0,0,43,0,0,0,0,151,359,0,90,289,120,0,30,25,0,144,0,356,21,68,19,52,172,0,185,213,23,14,0,249,130,313,0,9,105,60,0,0,0,0,0,35,363,22,5,0,21,26,13,98,144,7,0,0,0,476,0,8,31,368,80,206,0,151,16,32,4,0,0,1
0,0,172,0,1,0,6,21,324,78,359,189,495,34,131,0,111,0,0,490,0,162,0,227,47,98,0,0,0,71,81,65,23,0,0,66,77,356,0,173,270,38,58,65,56,0,89,0,293,186,71,0,119,218,10,72,127,117,156,0,404,246,321,0,0,127,0,0,0,37,0,0,53,358,0,0,0,18,14,28,0,30,61,96,31,36,430,35,0,39,340,0,327,14,62,53,27,16,0,0,1
180,344,33,0,4,0,0,68,156,44,99,0,121,0,60,0,68,0,0,15,279,12,0,66,10,90,70,0,0,0,132,41,0,238,212,176,158,470,0,104,95,181,62,0,20,0,0,19,152,64,0,23,292,48,14,0,133,102,0,0,0,13,457,0,0,302,0,0,0,0,0,0,57,429,40,0,0,0,24,9,6,15,25,30,13,0,136,75,0,71,110,2,0,38,50,30,0,69,0,0,1
195,379,30,0,41,0,0,0,125,2,4,0,205,0,1,0,0,0,0,0,123,75,34,235,17,7,0,0,0,0,0,105,37,364,259,255,232,392,0,229,0,186,0,0,0,0,0,0,36,76,0,63,585,78,0,9,0,25,0,0,0,9,418,227,159,291,0,0,0,0,18,17,101,363,6,120,14,0,2,6,0,0,71,132,71,0,226,132,28,10,99,29,0,69,24,38,0,69,0,0,0
0,0,98,0,5,0,68,31,435,21,339,372,193,249,50,0,6,0,0,225,0,119,9,169,52,92,44,0,0,5,351,18,0,0,53,10,302,265,0,92,218,88,11,31,14,0,150,0,438,190,23,196,74,300,0,239,183,9,3,0,370,137,124,0,20,191,60,0,0,0,0,0,0,266,101,0,0,26,172,31,6,4,81,151,35,0,199,0,0,13,448,0,292,25,275,17,8,47,0,1,1
165,86,447,0,0,0,0,0,138,0,57,125,220,19,0,0,8,0,0,656,0,73,0,361,0,30,0,0,0,0,0,0,10,201,209,51,372,764,0,56,96,225,39,0,0,0,15,0,170,125,0,21,16,60,0,14,176,53,22,0,362,27,62,0,25,539,2,72,104,0,0,67,45,751,60,0,0,0,0,0,29,175,31,19,0,3,5,0,21,0,485,25,326,87,149,0,0,0,8,0,1
89,30,445,0,0,0,0,0,101,0,66,75,191,41,0,0,12,0,0,574,0,40,0,321,0,0,4,0,0,0,0,0,0,89,135,0,291,672,49,18,113,285,0,0,0,39,1,0,129,160,0,0,27,25,0,18,329,62,1,10,574,28,40,0,0,652,43,0,82,0,0,0,16,656,101,0,0,0,52,0,103,28,0,0,0,0,0,0,73,0,205,73,511,21,104,0,0,22,0,0,0
0,0,183,0,0,1,4,21,418,115,206,257,535,110,118,0,88,0,0,536,0,49,7,386,0,80,0,0,0,10,243,0,0,0,0,12,156,410,0,58,396,61,30,48,8,0,34,0,211,45,76,40,31,166,0,96,317,130,58,0,233,196,279,0,0,120,0,0,41,0,0,2,111,412,94,0,0,5,55,0,151,50,2,0,5,0,473,0,9,1,432,0,176,0,135,13,35,17,0,0,1
